Moeda: BRL,2019,2020,2021,2022,2023,TTM,chk
Receita Total,148640000000.0,206100000000.0,293520000000.0,226510000000.0,208070000000.0,211110000000.0,8.946579803033296e+67
Cresc. Receita Total,0.10529999999999999,0.38659999999999994,0.4242,-0.22829999999999998,-0.0814,,0.00032091587516380385
Custo das mercadorias vendidas,-85480000000.0,-93110000000.0,-118890000000.0,-125500000000.0,-121020000000.0,-129740000000.00002,1.864579629288698e+66
Lucro Bruto,63160000000.0,112980000000.0,174630000000.0,101000000000.0,87050000000.0,81370000000.0,8.914910981947178e+65
Cresc. Lucro Bruto,0.2126,0.7888,0.5457,-0.4216,-0.1382,,0.005332032171807696
Despesas operacionais (excl. CPV),-34189999999.999996,-28350000000.0,-16050000000.0,-8230000000.0,-14080000000.0,-8770000000.0,1.580990586782967e+61
Resultado Operacional,28970000000.0,84630000000.0,158580000000.0,92770000000.0,72970000000.0,72600000000.0,1.9107759796997426e+65
Cresc. Resultado Operacional,-0.4007,1.9216,0.8737999999999999,-0.415,-0.21350000000000002,,-0.059612913642536236
"Receita não operacional, total",-37490000000.0,-41010000000.0,7510000000.0,7320000000.0,-11980000000.0,-9370000000.0,9.487518521066476e+60
Receita antes de impostos,-8520000000.0,43620000000.0,166090000000.0,100090000000.0,60990000000.0,63230000000.0,-2.382545732166061e+64
Cresc. Receita antes de impostos,-1.3300999999999998,,2.8082,-0.39740000000000003,-0.3907,,-0.5799407187541075
Equity em resultados,-2680000000.0,-5210000000.0,-6950000000.0,1620000000.0,-5430000000.0,-7620000000.0,-6.50469799161432e+57
Impostos,2510000000.0,-4630000000.0,-25320000000.0,-15190000000.0,-15000000000.0,-7330000000.0,-4.91441040029898e+59
Participação de não-controladores/minoritários,2020000000.0,1810000000.0,-115000000.0,-413000000.0,-614000000.0,-40000000.0,4.26487393864e+51
Depois de impostos outras receitas/despesas,0.0,0.0,0.0,0.0,0.0,,0.0
Lucro líquido antes das operações descontinuadas,-6670000000.0,35590000000.0,133710000000.00002,86110000000.0,39940000000.0,48250000000.0,-5.267162026521716e+63
Operações descontinuadas,0.0,-8880000000.0,-12480000000.0,9820000000.0,0.0,,0.0
Lucro Líquido,-6670000000.0,26710000000.0,121230000000.0,95920000000.0,39940000000.0,48250000000.0,-3.9923110923304365e+63
Cresc. Lucro Líquido,-1.26,,3.5382,-0.2087,-0.5836,,-0.54298852980624
Ajuste de diluição,0.0,0.0,0.0,0.0,0.0,,0.0
Dividendos preferenciais,0.0,0.0,0.0,0.0,0.0,,0.0
Lucro líquido diluído disponível para acionistas ordinários,-6670000000.0,26710000000.0,121230000000.0,95920000000.0,39940000000.0,48250000000.0,-3.9923110923304365e+63
Lucro básico por ação (EPS Básico),-1.3,5.21,24.19,20.68,9.15,11.27,-349391.6232885078
Cresc. Lucro básico por ação (EPS Básico),-1.2628,,3.6442,-0.1448,-0.5577000000000001,,-0.3716259080229697
Lucro diluído por ação (EPS Diluído),-1.3,5.21,24.19,20.66,9.14,11.25,-348053.4791481151
Cresc. Lucro diluído por ação (EPS Diluído),-1.2628,,3.6443,-0.1457,-0.5577000000000001,,-0.37394599868185563
Média de ações ordinárias em circulação,5130000000.0,5130000000.0,5010000000.0,4640000000.0,4370000000.0,,2.6734488147792e+48
Ações diluídas em circulação,5130000000.0,5130000000.0,5010000000.0,4640000000.0,4370000000.0,,2.6734488147792e+48
EBITDA,43720000000.0,101230000000.0,174960000000.0,109160000000.0,87760000000.0,90330000000.0,6.700702122583874e+65
Cresc. EBITDA,-0.2783,1.3155000000000001,0.7284,-0.3761,-0.196,,-0.019657731581661095
EBIT,28970000000.0,84630000000.0,158580000000.0,92770000000.0,72970000000.0,72600000000.0,1.9107759796997426e+65
Cresc. EBIT,-0.4007,1.9216,0.8737999999999999,-0.415,-0.21350000000000002,,-0.059612913642536236
Total de custos operacionais,-119670000000.0,-121470000000.0,-134940000000.0,-133740000000.00002,-135100000000.0,-138510000000.0,4.908997664648922e+66
